symbol,prob_11pct_up,predicted_return_q90,latest_close,date
BPOP,0.998,18.53,109.23999786376953,2025-11-12
ESPO,0.991,21.1,115.44000244140625,2025-11-12
AGYS,0.987,13.98,133.42999267578125,2025-11-12
FEX,0.981,19.03,117.37000274658203,2025-11-12
SENEB,0.977,13.9,112.30000305175781,2025-11-12
PNRG,0.977,21.56,128.9199981689453,2025-11-12
NTAP,0.975,21.0,114.12000274658203,2025-11-12
DUOL,0.966,12.32,272.760009765625,2025-11-12
WRLD,0.965,13.55,131.88999938964844,2025-11-12
MGRC,0.962,21.13,111.19000244140625,2025-11-12
VRSN,0.959,11.96,232.82000732421875,2025-11-12
ROAD,0.955,19.69,116.19999694824219,2025-11-12
MKSI,0.945,14.28,141.39999389648438,2025-11-12
SMH,0.934,11.92,368.6099853515625,2025-11-12
DXPE,0.932,20.49,122.45999908447266,2025-11-12
FFIV,0.92,11.26,258.760009765625,2025-11-12
NBIX,0.901,21.61,138.02000427246094,2025-11-12
CVLT,0.9,14.09,140.13999938964844,2025-11-12
SNDK,0.877,14.66,204.36000061035156,2025-11-12
VRSK,0.868,9.96,208.0,2025-11-12
KBWP,0.862,22.33,115.2300033569336,2025-11-12
AEP,0.86,16.96,121.15467834472656,2025-11-12
FSV,0.843,12.29,155.75,2025-11-12
MSTR,0.826,10.22,275.3599853515625,2025-11-12
DORM,0.78,20.36,133.52999877929688,2025-11-12
AVAV,0.776,11.81,380.6499938964844,2025-11-12
SENEA,0.772,18.29,109.51000213623047,2025-11-12
SPRB,0.761,14.76,118.0,2025-11-12
PCTY,0.743,23.6,141.42999267578125,2025-11-12
ZBRA,0.732,11.28,270.7699890136719,2025-11-12
NOVT,0.691,16.61,128.61000061035156,2025-11-12
RKLX,0.684,15.14,151.44000244140625,2025-11-12
CAR,0.668,20.06,139.0500030517578,2025-11-12
HOOD,0.632,12.54,144.8000030517578,2025-11-12
NBIS,0.626,11.95,125.0999984741211,2025-11-12
